fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight
289A,103.9027319,1.4015669,289B,103.9032363,1.4012905,63.91393085
289A,103.9027319,1.4015669,289C,103.9034807,1.4016541,83.88724538
289A,103.9027319,1.4015669,298D,103.9036292,1.4020506,113.2790055
289A,103.9027319,1.4015669,288A,103.9031576,1.4023171,95.52804655
289A,103.9027319,1.4015669,273A,103.9021262,1.4022774,103.5172172
289A,103.9027319,1.4015669,273B,103.9017853,1.4020322,117.2367352
289A,103.9027319,1.4015669,after punggol field (bus stop),103.9024931,1.4024963,106.1488313
289B,103.9032363,1.4012905,289A,103.9027319,1.4015669,63.91393085
289B,103.9032363,1.4012905,289C,103.9034807,1.4016541,48.54069257
289B,103.9032363,1.4012905,after punggol field (bus stop),103.9024931,1.4024963,156.900755
289B,103.9032363,1.4012905,opposite blk 201a (bus stop),103.9035672,1.4008806,58.39848105
289B,103.9032363,1.4012905,288A,103.9031576,1.4023171,113.8535993
289C,103.9034807,1.4016541,289A,103.9027319,1.4015669,83.88724538
289C,103.9034807,1.4016541,289B,103.9032363,1.4012905,48.54069257
289C,103.9034807,1.4016541,opposite blk 201a (bus stop),103.9035672,1.4008806,86.0697246
289C,103.9034807,1.4016541,273B,103.9017853,1.4020322,193.2515979
289C,103.9034807,1.4016541,273A,103.9021262,1.4022774,165.7465609
289C,103.9034807,1.4016541,after punggol field (bus stop),103.9024931,1.4024963,144.0552538
289C,103.9034807,1.4016541,274B,103.9024316,1.4031224,199.9763543
289C,103.9034807,1.4016541,288A,103.9031576,1.4023171,81.65420591
289C,103.9034807,1.4016541,289D,103.9036292,1.4020506,46.85419021
289C,103.9034807,1.4016541,295,103.9048642,1.4020047,158.7704723
289D,103.9036292,1.4020506,289C,103.9034807,1.4016541,46.85419021
289D,103.9036292,1.4020506,273B,103.9017853,1.4020322,205.2110549
289D,103.9036292,1.4020506,273A,103.9021262,1.4022774,169.1330282
289D,103.9036292,1.4020506,288A,103.9031576,1.4023171,60.18974464
289D,103.9036292,1.4020506,289A,103.9027319,1.4015669,113.2790055
289D,103.9036292,1.4020506,288B,103.9032946,1.4027295,83.79710526
289D,103.9036292,1.4020506,288C,103.9036849,1.4025151,51.73475121
289D,103.9036292,1.4020506,294,103.9046769,1.4026872,136.1960574
289D,103.9036292,1.4020506,295,103.9048642,1.4020047,137.5323696
288A,103.9031576,1.4023171,289D,103.9036292,1.4020506,60.18974464
288A,103.9031576,1.4023171,289C,103.9034807,1.4016541,81.65420591
288A,103.9031576,1.4023171,289B,103.9032363,1.4012905,113.8535993
288A,103.9031576,1.4023171,289A,103.9027319,1.4015669,95.52804655
288A,103.9031576,1.4023171,273B,103.9017853,1.4020322,155.9336577
288A,103.9031576,1.4023171,273A,103.9021262,1.4022774,114.8646813
288A,103.9031576,1.4023171,after punggol field (bus stop),103.9024931,1.4024963,76.55852149
288A,103.9031576,1.4023171,274B,103.9024316,1.4031224,120.2366141
288A,103.9031576,1.4023171,288B,103.9032946,1.4027295,48.08230886
288A,103.9031576,1.4023171,288C,103.9036849,1.4025151,62.63254275
288B,103.9032946,1.4027295,288C,103.9036849,1.4025151,49.48372955
288B,103.9032946,1.4027295,289D,103.9036292,1.4020506,83.79710526
288B,103.9032946,1.4027295,288A,103.9031576,1.4023171,48.08230886
288B,103.9032946,1.4027295,after punggol field (bus stop),103.9024931,1.4024963,92.84853929
288B,103.9032946,1.4027295,274A,103.9023674,1.4027227,103.1874474
288B,103.9032946,1.4027295,274B,103.9024316,1.4031224,105.4095
288B,103.9032946,1.4027295,after punggol central (bus stop),103.9033256,1.4033115,64.44701887
288B,103.9032946,1.4027295,92,103.9162965,1.4002986,1471.690161
288B,103.9032946,1.4027295,90,103.9165299,1.4006172,1491.313017
288C,103.9036849,1.4025151,after punggol central (bus stop),103.9033256,1.4033115,96.71458128
288C,103.9036849,1.4025151,92,103.9162965,1.4002986,1424.738715
288C,103.9036849,1.4025151,90,103.9165299,1.4006172,1444.796526
288C,103.9036849,1.4025151,288B,103.9032946,1.4027295,49.48372955
288C,103.9036849,1.4025151,288A,103.9031576,1.4023171,62.63254275
288C,103.9036849,1.4025151,289D,103.9036292,1.4020506,51.73475121
288C,103.9036849,1.4025151,295,103.9048642,1.4020047,142.8605249
288C,103.9036849,1.4025151,294,103.9046769,1.4026872,112.0242432
92,103.9162965,1.4002986,90,103.9165299,1.4006172,43.76936145
92,103.9162965,1.4002986,288C,103.9036849,1.4025151,1424.738715
92,103.9162965,1.4002986,288B,103.9032946,1.4027295,1471.690161
92,103.9162965,1.4002986,274B,103.9024316,1.4031224,1574.250973
92,103.9162965,1.4002986,after punggol central (bus stop),103.9033256,1.4033115,1481.431045
92,103.9162965,1.4002986,86,103.9169432,1.4012877,130.9246128
92,103.9162965,1.4002986,82,103.9162586,1.4016849,153.3480532
92,103.9162965,1.4002986,88,103.9167378,1.4009267,85.0615009
90,103.9165299,1.4006172,293,103.9049597,1.4031741,1318.280889
90,103.9165299,1.4006172,294,103.9046769,1.4026872,1338.789314
90,103.9165299,1.4006172,295,103.9048642,1.4020047,1307.268169
90,103.9165299,1.4006172,288C,103.9036849,1.4025151,1444.796526
90,103.9165299,1.4006172,288B,103.9032946,1.4027295,1491.313017
90,103.9165299,1.4006172,92,103.9162965,1.4002986,43.76936145
90,103.9165299,1.4006172,84,103.9165819,1.4013841,84.9971457
90,103.9165299,1.4006172,82,103.9162586,1.4016849,121.8602674
90,103.9165299,1.4006172,88,103.9167378,1.4009267,41.3098693
86,103.9169432,1.4012877,84,103.9165819,1.4013841,41.59674489
86,103.9169432,1.4012877,82,103.9162586,1.4016849,87.93980057
86,103.9169432,1.4012877,80,103.9159556,1.4017677,122.051172
86,103.9169432,1.4012877,88,103.9167378,1.4009267,45.99902028
86,103.9169432,1.4012877,92,103.9162965,1.4002986,130.9246128
86,103.9169432,1.4012877,after punggol central (bus stop),103.9033256,1.4033115,1531.886745
88,103.9167378,1.4009267,80,103.9159556,1.4017677,127.3781427
88,103.9167378,1.4009267,293,103.9049597,1.4031741,1334.091591
88,103.9167378,1.4009267,294,103.9046769,1.4026872,1356.257367
88,103.9167378,1.4009267,90,103.9165299,1.4006172,41.3098693
88,103.9167378,1.4009267,92,103.9162965,1.4002986,85.0615009
